1,0
Bryson DeChambeau,33.579776677570806
Jon Rahm,32.68598210140394
Viktor Hovland,28.756308928000095
Xander Schauffele,27.662117335279106
Keegan Bradley,26.614475230651696
Justin Suh,26.265636446886457
Matt Wallace,23.872681485181484
Abraham Ancer,21.229570429570426
Emiliano Grillo,19.164912682346888
Stewart Cink,18.371094387638497
Will Zalatoris,18.12958981378099
Sungjae Im,16.6089366515837
Corey Conners,16.466349732139204
Tony Finau,16.24947568771098
Lucas Glover,16.165297896547894
Patrick Reed,15.607526063118165
Russell Henley,15.482548007547999
Max Homa,15.427761699085229
Brian Harman,15.143567434027958
Patrick Cantlay,14.207658517952632
Cameron Tringale,13.895291668685628
Shane Lowry,13.505982905982904
Talor Gooch,13.015298573115908
Justin Thomas,12.393558361573069
Patton Kizzire,11.007046997120522
Rory McIlroy,10.117833014079148
Matt Jones,9.91882259896966
Aaron Wise,9.332187257187256
Brice Garnett,9.011882561882564
Francesco Molinari,8.986363350701586
Rickie Fowler,8.590274309024307
Carlos Ortiz,8.578018958166016
Webb Simpson,8.270954045954046
Harold Varner III,7.964289958407606
Ryan Moore,7.492657342657343
Ben Martin,7.3028110778110795
Denny McCarthy,7.129361208966471
Martin Trainer,6.938355394605394
Harris English,6.433723221223222
Byeong Hun An,6.239578803549393
Joaquin Niemann,6.1802614052614055
Jason Day,5.920315509653744
John Huh,5.403160728160729
Joel Dahmen,4.916747835497835
Kris Ventura,4.272738664843928
Brandon Hagy,4.112319624819625
Ian Poulter,3.9182928182928176
Sepp Straka,3.8350982350982354
Joseph Bramlett,3.706772394272394
Wyndham Clark,3.6936868686868687
Mark Hubbard,3.6868235930735933
Doc Redman,3.5666472416472415
Adam Hadwin,3.4514145576645583
Michael Kim,3.4266233766233762
Rafael Campos,3.3952758498811137
Kevin Streelman,3.228342490842491
Roger Sloan,3.1728854478854487
Kyle Stanley,3.1048160173160175
Mackenzie Hughes,3.0981102231102233
Tommy Fleetwood,2.9177350427350426
J.B. Holmes,2.8082702020202017
Andrew Putnam,2.749114774114774
Sebastián Muñoz,2.6759920634920635
Cameron Davis,2.643124236874237
Sam Ryder,2.592074592074592
Luke List,2.5793345543345545
Phil Mickelson,2.5737012987012986
Bronson Burgoon,2.5399214820267453
Chase Seiffert,2.4046356421356423
David Hearn,2.382883782883783
Ryan Armour,2.3757638195138195
Robert Streb,2.311933899433899
Patrick Rodgers,2.235732323232323
Lanto Griffin,2.1443771506271507
Austin Cook,2.1165279165279163
Will Gordon,2.0746031746031743
Michael Thompson,2.037734487734488
Matthew NeSmith,1.989255189255189
Scott Stallings,1.9215139027639025
Zach Johnson,1.9123376623376622
Vaughn Taylor,1.8192460317460322
Ryan Brehm,1.8163059163059163
Bubba Watson,1.7451645576645576
Nate Lashley,1.743939393939394
Vincent Whaley,1.6698879551820727
Maverick McNealy,1.5951232247284879
Rob Oppenheim,1.5513278388278389
James Hahn,1.4472402597402598
Russell Knox,1.4018398268398267
Cameron Percy,1.3456947872389047
Jhonattan Vegas,1.333152958152958
Bo Hoag,1.3127705627705628
Adam Long,1.2909090909090908
C.T. Pan,1.281024531024531
Jamie Lovemark,1.253787878787879
Rory Sabbatini,1.226190476190476
Grayson Murray,1.190909090909091
Danny Lee,1.1666666666666665
Kramer Hickok,1.12725468975469
Satoshi Kodaira,1.0291666666666668
Adam Schenk,0.9831349206349207
Henrik Norlander,0.9166666666666665
Richy Werenski,0.8979853479853479
J.J. Spaun,0.890079365079365
Brendan Steele,0.8755952380952382
Hunter Mahan,0.8729603729603731
Chesson Hadley,0.8653846153846154
Tom Hoge,0.8499999999999999
K.J. Choi,0.7847402597402597
Sean O'Hair,0.7655122655122655
Scott Harrington,0.7474747474747475
Scott Piercy,0.7376984126984126
J.T. Poston,0.7291666666666666
Erik van Rooyen,0.6801282051282052
Bo Van Pelt,0.6791666666666666
Michael Gligic,0.6615609536662167
Jason Dufner,0.5965686274509804
Tom Lewis,0.5666666666666667
Hank Lebioda,0.5488636363636364
Peter Malnati,0.5181818181818182
Troy Merritt,0.5
Tyler Duncan,0.48571428571428565
Keith Mitchell,0.4694444444444444
Charl Schwartzel,0.46527777777777785
Bill Haas,0.4444444444444444
Jimmy Walker,0.39583333333333326
Robby Shelton,0.3928571428571429
Tyler McCumber,0.375
Beau Hossler,0.3333333333333333
Chez Reavie,0.3214285714285714
D.J. Trahan,0.3055555555555556
Kelly Kraft,0.2875
Gary Woodland,0.2708333333333333
Brian Stuard,0.26515151515151514
Nick Taylor,0.25
Kyoung-Hoon Lee,0.24166666666666667
Sebastian Cappelen,0.18181818181818182
Scott Brown,0.17857142857142858
Pat Perez,0.1
Rafa Cabrera Bello,0.09722222222222221
Xinjun Zhang,0.05
Harry Higgs,0.0
Sung Kang,0.0
Kevin Tway,0.0
Luke Donald,0.0
